country_iso2,sector,pd,net_profit_margin,debt_equity_ratio,volatility
KW,Oil&Gas,3.2914e-4,0.07885512,0.120608035,0.2466461475
KW,Power,4.40035e-4,0.0936983,0.11441915,0.28133464249999995
KZ,Automotive,3.27135e-4,0.049479075,0.108934235,0.27290464
KZ,Coal,4.91545e-4,0.0716065,0.106970395,0.32071617
KZ,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
KZ,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
KZ,Steel,2.4183e-4,0.1489947,0.00638201,0.54080065
LA,Coal,3.4810250000000004e-4,0.09282441250000001,0.10574266125000001,0.30037116375
LA,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
LB,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
LK,Power,3.61605e-4,0.07192025,0.0744005,0.351044575
LT,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
LT,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
LU,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
LU,Steel,2.4183e-4,0.1489947,0.00638201,0.54080065
LV,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
LY,Oil&Gas,3.8466e-4,0.1047981,0.114531475,0.2822544025
LY,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
LY,Steel,4.1234750000000004e-4,0.1045378,0.11441915,0.289695265
MA,Automotive,3.281375e-4,0.049479075,0.108934235,0.27290464
MA,Oil&Gas,3.8466e-4,0.2635113,0.05576412,0.31424366
MA,Power,4.219425e-4,0.07623571,0.11441915,0.27358986750000003
MA,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
MD,Oil&Gas,5.3307e-4,0.096079905,0.13918295,0.2639664825
MD,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
ME,Coal,5.414775e-4,0.0716065,0.1136253875,0.3115850375
ME,Power,5.414775e-4,0.0716065,0.1136253875,0.3115850375
MG,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
MK,Coal,5.414775e-4,0.0716065,0.1136253875,0.3115850375
MK,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
ML,Power,4.4686e-4,0.0683728,0.114531475,0.27935096000000004
MM,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
MM,Oil&Gas,3.26375e-4,0.0581042,0.12093569,0.24302715
MM,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
MN,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
MN,Oil&Gas,3.26375e-4,0.0581042,0.12093569,0.27279758
MN,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
MO,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
MR,Oil&Gas,3.9782e-4,0.0766967,0.12093569,0.275562825
MR,Power,4.4686e-4,0.0683728,0.11594062,0.27624836750000004
MT,Power,4.40035e-4,0.0806535,0.11441915,0.289695265
MU,Power,4.4686e-4,0.0683728,0.09951557,0.274240405
MW,Coal,5.96585e-4,0.141279,0.19668025,0.319775395
MX,Automotive,3.2361e-4,0.049479075,0.108934235,0.27290464
MX,Coal,1.539725e-4,0.151880825,0.041476055,0.19939190375
MX,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
MX,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
MX,Steel,2.4183e-4,0.0938409,0.06630509,0.34020823
MY,Automotive,3.2361e-4,0.0491513,0.108934235,0.27285110999999995
MY,Coal,3.31375e-4,0.079860975,0.1070828675,0.2840307775
MY,Oil&Gas,3.1353e-4,0.0621644125,0.12093569,0.24302715
MY,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
MY,Steel,2.4227e-4,0.0483934,0.055973145,0.26753675
MZ,Coal,4.05845e-4,0.07180757500000001,0.104402455,0.3202457825
MZ,Oil&Gas,5.22755e-4,0.0767338625,0.133793625,0.27561886
MZ,Power,4.434475e-4,0.0683728,0.10810519,0.289695265
NE,Coal,5.96585e-4,0.141279,0.19668025,0.319775395
NE,Oil&Gas,4.4686e-4,0.07635422,0.126341835,0.32071617
NE,Power,4.25355e-4,0.07009018750000001,0.09951557,0.32071617
NG,Automotive,4.50865e-4,0.0525324,0.145243695,0.272921985
NG,Oil&Gas,6.4677e-4,0.141279,0.1531681,0.32678448
NG,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
NG,Steel,0.00554358,0.00645214,0.34084817,0.83621933
NL,Automotive,2.6174e-4,0.1258046,0.16352665,0.20166001
NL,Oil&Gas,5.3307e-4,0.08101354,0.129731665,0.2593622725
NL,Power,5.6224e-4,0.0716949,0.12028038,0.27561886
NL,Steel,3.939e-4,0.06578323,0.135091955,0.328805625
NO,Coal,4.446825e-4,0.0741074,0.1121509525,0.3153731725
NO,Oil&Gas,4.9168e-4,0.08101354,0.13036264,0.24574859
NO,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
NP,Coal,3.6085e-4,0.09115975,0.07939538,0.36263584
NZ,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
NZ,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
NZ,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
NZ,Steel,2.4227e-4,0.0483934,0.055973145,0.26753675
OM,Oil&Gas,3.8466e-4,0.11114627,0.114531475,0.278635405
OM,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
OM,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
PA,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
PE,Coal,1.02745e-4,0.1753005,0.02911371,0.174020275
PE,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
PE,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
PE,Steel,2.2344e-4,0.0938409,0.06630509,0.34117707
PG,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
PG,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
PH,Automotive,3.26375e-4,0.0574028,0.11395420625,0.27290464
PH,Coal,2.9792e-4,0.0539341,0.104402455,0.251350005
PH,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
PH,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
PH,Steel,3.0156e-4,0.05116375,0.08203916750000001,0.271577805
PK,Automotive,3.2361e-4,0.049315187499999996,0.10810519,0.27285110999999995
PK,Coal,3.6085e-4,0.09115975,0.07939538,0.36263584
PK,Oil&Gas,1.8441e-4,0.0632249,0.12771637,0.23984724
PK,Power,3.61605e-4,0.07192025,0.0744005,0.351044575
PK,Steel,0.001103325,0.0378087,0.109871915,0.50900214
PL,Automotive,3.281375e-4,0.049479075,0.108934235,0.27290464
PL,Coal,4.91545e-4,0.0715181,0.10776202125,0.347551215
PL,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.250265145
PL,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
PL,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
PR,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
PT,Automotive,3.27135e-4,0.0510106125,0.11240379750000001,0.27290464
PT,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
